index,title,price,originalPrice,discount,currency,seller,rating,reviews,shipping,location,link,scrapedAt
"3","","179550","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012584064-lexus-gx550-2025-twin-turbo-luxury-nueva-a-estrenar-_JM#polycard_client=splinter&c_element_order=1&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=90e2f845-1327-3bbb-9bb2-6c5eae09d0bf&V=1&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=1&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=90e2f845-1327-3bbb-9bb2-6c5eae09d0bf","2026-05-24T13:25:43.599Z"
"4","","16500","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012597772-toyota-corolla-2011-_JM#polycard_client=splinter&c_element_order=2&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=00b1c67c-5148-350b-93c8-dc392d77692e&V=2&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=2&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=00b1c67c-5148-350b-93c8-dc392d77692e","2026-05-24T13:25:43.599Z"
"5","","37000","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012583012-toyota-corolla-cross-elite-_JM#polycard_client=splinter&c_element_order=3&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=3cacb9c7-a0e6-358c-bea5-e7a6d3fc5a2b&V=3&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=3&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=3cacb9c7-a0e6-358c-bea5-e7a6d3fc5a2b","2026-05-24T13:25:43.599Z"
"6","","8200","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012613186-ford-fiesta-max-2010-_JM#polycard_client=splinter&c_element_order=4&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=1e6e4d4f-ac2b-3ba1-b433-a84183336c0e&V=4&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=4&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=1e6e4d4f-ac2b-3ba1-b433-a84183336c0e","2026-05-24T13:25:43.599Z"
"7","","63000","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012613084-toyota-4runner-trd-pro-2019-subasta-_JM#polycard_client=splinter&c_element_order=5&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=8b4873b6-b11c-39ca-aabc-f2176fca6c47&V=5&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=5&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=8b4873b6-b11c-39ca-aabc-f2176fca6c47","2026-05-24T13:25:43.599Z"
"8","","88200","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012612964-toyota-4runner-trd-off-road-premium-_JM#polycard_client=splinter&c_element_order=6&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=f7ebaeaa-d6e2-386d-878c-512d6f8e992a&V=6&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=6&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=f7ebaeaa-d6e2-386d-878c-512d6f8e992a","2026-05-24T13:25:43.599Z"
"9","","27700","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012587816-jeep-grand-cherokee-4g-blindada-inmaculada-2013-_JM#polycard_client=splinter&c_element_order=7&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=189d9970-3199-3438-95f6-ea33d0b6da30&V=7&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=7&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=189d9970-3199-3438-95f6-ea33d0b6da30","2026-05-24T13:25:43.599Z"
"10","","83900","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012596646-jeep-gladiator-4x4-2023-_JM#polycard_client=splinter&c_element_order=8&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=20a0acf4-1837-367c-83a2-8cf0ee7d4bab&V=8&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=8&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=20a0acf4-1837-367c-83a2-8cf0ee7d4bab","2026-05-24T13:25:43.599Z"
"11","","36000","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012582724-suzuki-jimny-3-puertas-gl-2024-_JM#polycard_client=splinter&c_element_order=9&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=76e8127b-ef1e-358a-85df-0803ed3c5642&V=9&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=9&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=76e8127b-ef1e-358a-85df-0803ed3c5642","2026-05-24T13:25:43.599Z"
"12","","12000","","","US$","","","","","","https://carro.mercadolibre.com.ve/MLV-1012597070-jeep-grand-cherokee-_JM#polycard_client=splinter&c_element_order=10&deal_print_id=0d99c480-5774-11f1-a917-270ae428c889&search_layout=stack&L=autos-y-camionetas-publicados-hoy&type=item&c_tracking_id=0d99c480-5774-11f1-a917-270ae428c889&c_uid=8ec6494f-a4e7-353f-9c79-fe039ef3e34b&V=10&c_campaign=autos-y-camionetas-publicados-hoy&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=10&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=not_apply&c_global_position=5&c_element_id=8ec6494f-a4e7-353f-9c79-fe039ef3e34b","2026-05-24T13:25:43.600Z"
